StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,GPA,Activity,Participation
1004,17,1,0,3,10.028829473958217,14,0,3,2.0542181397029484,Extracurricular,1
1006,18,0,0,1,8.191218545250186,0,0,1,3.0841836144863937,Extracurricular,1
1008,15,1,1,4,15.424496305808074,22,1,1,1.360142712316461,Extracurricular,1
1010,16,1,0,1,18.4444663630972,0,0,3,3.5734742103297656,Extracurricular,1
1013,17,0,1,1,10.038711615617212,21,0,3,1.520077814874808,Extracurricular,1
1017,18,0,3,1,10.098656081788002,14,0,2,2.232175277715976,Extracurricular,1
1019,18,0,1,3,16.25465808609359,29,0,2,0.4695533233798704,Extracurricular,1
1022,15,0,0,2,15.32314203165556,25,0,1,0.3468940367050148,Extracurricular,1
1024,18,1,3,4,18.94613798473924,20,0,2,1.7701318767799732,Extracurricular,1
1029,18,0,0,0,18.679748370252344,10,0,3,2.854803928981318,Extracurricular,1
1030,18,0,0,2,3.67159254710292,20,0,3,1.519441725815139,Extracurricular,1
1034,16,0,3,3,15.89325784795778,21,0,0,0.94940609779728,Extracurricular,1
1035,16,0,0,3,9.126336411019247,27,1,2,1.1409594184203395,Extracurricular,1
1039,15,1,1,1,2.949078348522698,3,1,1,3.0189058584279675,Extracurricular,1
1040,17,1,2,1,12.233113512920282,21,1,3,1.5268678317927231,Extracurricular,1
1045,18,1,0,1,18.921512361376628,1,1,3,4.0,Extracurricular,1
1047,18,0,1,2,2.6313061327870924,5,0,1,2.5637654300150947,Extracurricular,1
1050,16,1,1,1,19.441069492469765,16,0,4,2.4610469629080955,Extracurricular,1
1052,16,1,2,0,2.200354422550872,12,1,1,1.9863780592187463,Extracurricular,1
1055,17,0,0,0,0.1862058152470735,29,1,2,0.7562591665741925,Extracurricular,1
1058,15,0,0,4,10.87755842322235,29,0,3,0.2865712882866222,Extracurricular,1
1061,17,1,1,1,12.26340721486234,10,0,0,1.892758695926592,Extracurricular,1
1066,16,0,1,1,18.111642751462643,6,1,3,3.2618553073332905,Extracurricular,1
1071,16,0,1,2,13.370933902279706,6,0,2,2.937454182316864,Extracurricular,1
1073,15,0,1,1,3.258053089547881,8,0,2,2.556801662833417,Extracurricular,1
1075,15,1,0,3,17.067914670738833,14,0,3,2.200682946560561,Extracurricular,1
1078,18,1,1,3,18.079061303797783,18,1,1,2.1317372971872284,Extracurricular,1
1083,15,1,1,1,14.407464254644058,7,0,0,2.532438417587673,Extracurricular,1
1085,17,1,0,2,5.125847507384352,12,0,3,2.342836773191855,Extracurricular,1
1087,16,1,0,1,13.399069817184362,20,1,1,1.5237487447337323,Extracurricular,1
1089,18,0,0,1,16.117823383937086,22,0,0,1.0586220144439875,Extracurricular,1
1092,18,1,0,2,7.724727905981792,0,0,2,3.5069200713692137,Extracurricular,1
1095,16,1,0,1,6.414243299685878,4,0,1,2.7084723438568763,Extracurricular,1
1099,16,0,0,3,8.603518168886264,25,0,2,0.7443222999212357,Extracurricular,1
1101,17,1,2,1,6.029123728213359,23,1,1,1.2712295298373406,Extracurricular,1
1102,16,1,0,3,1.8911268954877647,6,0,3,2.52614214142023,Extracurricular,1
1103,16,0,1,1,15.167695431798355,27,0,3,0.9424153953595232,Extracurricular,1
1105,16,1,1,0,11.406250156530078,29,0,3,0.6482739267081915,Extracurricular,1
1107,16,0,3,1,2.8099801959103465,18,0,0,0.8422959992571388,Extracurricular,1
1109,16,1,2,2,4.156476829176716,24,1,3,1.487946865169799,Extracurricular,1
